Advertiser,Region,Sub Region,IO Number,Invoice No,Gross Amount,Sales,开票sales,Net Invoice Amount, Invoice Currency , FX Rate ,Amount (USD),Invoice Date,Amount received,Balance,Remark,Receipt Date,Bank source,Credit Period,Due Date,Days Past Due,Ageing (Past Due),COMMENTS
"AppTap, LLC_Ultron",AFF,AFF,,CHN_25_07_18,,AFF,,48169.91 ,USD,,48169.91 ,2018/7/12,48151.61 ,18.30 ,,2018/8/21,, 30 ,2018/8/11, reveived ,received,May
Baidu (HongKong) Limited-API,AFF,AFF,,CHN_26_07_18,,AFF,,87421.00 ,USD,,87421.00 ,2018/7/12,87421.00 ,0.00 ,,2018/9/4,, 30 ,2018/8/11, reveived ,received,May
"Bat Technology CO., Limited（Ultron）",AFF,AFF,,CHN_27_07_18,,AFF,,63161.37 ,USD,,63161.37 ,2018/7/12,63161.37 ,0.00 ,,2018/8/31,, 30 ,2018/8/11, reveived ,received,May
Cliiky Network Limited,AFF,AFF,,CHN_28_07_18,,AFF,,629.34 ,USD,,629.34 ,2018/7/12,627.42 ,1.92 ,,2018/7/25,, 30 ,2018/8/11, reveived ,received,May
Bingmob Limited,AFF,AFF,,CHN_29_07_18,,AFF,,629.34 ,USD,,629.34 ,2018/7/12,,629.34 ,,2018/7/18,, 30 ,2018/8/11, reveived ,received,May
Ladbrokes Coral Group,UK,UK,,UK_14_07_18,,UK,,1232.00 ,USD,,1232.00 ,2018/7/13,1232.00 ,0.00 ,,2018/7/24,, 30 ,2018/8/12, reveived ,received,June
"Dreamscape Technology CO.,Limited(Oceanbys)",AFF,AFF,,CHN_30_07_18,,AFF,,4709.21 ,USD,,4709.21 ,2018/7/16,4700.29 ,8.92 ,,2018/7/26,, 30 ,2018/8/15, reveived ,received,May
Bingmob Limited,AFF,AFF,,CHN_48_07_18,,AFF,,(629.34),USD,,(629.34),2018/7/18,,(629.34),,2018/7/18,, 30 ,2018/8/17, reveived ,received,Cancelled invoice of May.18
Bingmob Limited,AFF,AFF,,CHN_49_07_18,,AFF,,612.50 ,USD,,612.50 ,2018/7/18,610.59 ,1.91 ,,2018/8/14,, 30 ,2018/8/17, reveived ,received,May
UNILEAD PTE.LTD,UK,UK,,UK_15_07_18,,UK,,(3442.03),USD,,(3442.03),2018/7/19,,(3442.03),,2018/7/19,, 30 ,2018/8/18, reveived ,received,Cancelled invoice of June
