Advertiser,Region,Sub Region,IO Number,Invoice No,Gross Amount,Sales,开票sales,Net Invoice Amount, Invoice Currency , FX Rate ,Amount (USD),Invoice Date,Amount received,Balance,Remark,Receipt Date,Bank source,Credit Period,Due Date,Days Past Due,Ageing (Past Due),COMMENTS
"Lazada E-Services Philippines, Inc (Lazada PH)",APAC,SGP,,SGP_09_08_18,,Amanda,,10634.20 ,USD,,10634.20 ,2018/8/14,10634.20 ,0.00 ,,2018/9/21,, 30 ,2018/9/13, reveived ,received,July Lazada-PH
IPLAYABLE LIMITED（inplayable）,AFF,AFF,,CHN_25_08_18,,AFF,,6286.20 ,USD,,6286.20 ,2018/8/13,6286.20 ,0.00 ,,2018/9/11,, 30 ,2018/9/12, reveived ,received,May
SuperADS Technology Limited,AFF,AFF,,CHN_26_08_18,,AFF,,1998.31 ,USD,,1998.31 ,2018/8/13,1996.40 ,1.91 ,,2018/8/28,, 30 ,2018/9/12, reveived ,received,May
JOLLYCHIC EC LIMITED（杭州执御）,China Sales,China Sales EC,,CHN_27_08_18,,XinXin,,8621.90 ,USD,,8621.90 ,2018/8/13,8619.98 ,1.92 ,,2018/8/30,, 30 ,2018/9/12, reveived ,received,July Facebook消耗
"Hong Kong Shengmu Data Network Technology Co., Limited(Mightapp)",AFF,AFF,,CHN_28_08_18,,AFF,,1572.68 ,USD,,1572.68 ,2018/8/14,1566.60 ,6.08 ,,2018/9/26,, 30 ,2018/9/13, reveived ,received,May
Minimob,AFF,AFF,,CHN_29_08_18,,AFF,,1059.10 ,USD,,1059.10 ,2018/8/14,1030.80 ,28.30 ,,2018/9/6,, 30 ,2018/9/13, reveived ,received,May
"Nasmedia Co., Ltd",AFF,AFF,,CHN_30_08_18,,AFF,,1207.34 ,USD,,1207.34 ,2018/8/14,1207.34 ,0.00 ,,2018/8/31,, 30 ,2018/9/13, reveived ,received,July
Mobchang_Ultron,AFF,AFF,,CHN_31_08_18,,AFF,,2148.36 ,USD,,2148.36 ,2018/8/14,2148.36 ,0.00 ,,2018/9/6,, 30 ,2018/9/13, reveived ,received,May
"Nasmedia Co., Ltd",AFF,AFF,,CHN_32_08_18,,AFF,,519.06 ,USD,,519.06 ,2018/8/14,480.76 ,38.30 ,,2018/8/31,, 30 ,2018/9/13, reveived ,received,Mar
"Zucks, Inc.",AFF,AFF,,CHN_35_08_18,,AFF,,529.55 ,USD,,529.55 ,2018/8/16,521.25 ,8.30 ,,2018/8/1,, 30 ,2018/9/15, reveived ,received,May
Smile Internet Technologies PTE. Limited,AFF,AFF,,CHN_36_08_18,,AFF,,3028.20 ,USD,,3028.20 ,2018/8/16,3028.20 ,0.00 ,,2018/8/30,, 30 ,2018/9/15, reveived ,received,May
LEADSAGA TECHNICAL LIMITED,AFF,AFF,,CHN_37_08_18,,AFF,,1207.13 ,USD,,1207.13 ,2018/8/16,1198.20 ,8.93 ,,2018/8/22,, 30 ,2018/9/15, reveived ,received,May
Pubnative GmbH,AFF,AFF,,CHN_39_08_18,,AFF,,11374.27 ,USD,,11374.27 ,2018/8/16,11374.27 ,0.00 ,,2018/8/8,, 30 ,2018/9/15, reveived ,received,May
Mobvista International Technology Limited-Ultron,AFF,AFF,,CHN_40_08_18,,AFF,,106742.28 ,USD,,106742.28 ,2018/8/16,106733.98 ,8.30 ,,2018/8/29,, 30 ,2018/9/15, reveived ,received,May
SOL NETWORKS LIMITED,UK,UK,,UK_09_08_18 CM,,UK,,2910.00 ,USD,,2910.00 ,2018/8/15,2910.00 ,0.00 ,,2018/8/27,, 30 ,2018/9/14, reveived ,received,July Dating.com
Baidu (HongKong) Limited-API,AFF,AFF,,CHN_41_08_18,,AFF,,74450.00 ,USD,,74450.00 ,2018/8/16,74450.00 ,0.00 ,,2018/9/4,, 30 ,2018/9/15, reveived ,received,June
"AppTap, LLC_Ultron",AFF,AFF,,CHN_42_08_18,,AFF,,53068.27 ,USD,,53068.27 ,2018/8/16,53049.97 ,18.30 ,,2018/9/19,, 30 ,2018/9/15, reveived ,received,June
"Bat Technology CO., Limited（Ultron）",AFF,AFF,,CHN_43_08_18,,AFF,,64901.24 ,USD,,64901.24 ,2018/8/16,,64901.24 ,,2018/9/11,, 30 ,2018/9/15, reveived ,received,June
Bingmob Limited,AFF,AFF,,CHN_44_08_18,,AFF,,1670.49 ,USD,,1670.49 ,2018/8/16,1668.57 ,1.92 ,,2018/9/26,, 30 ,2018/9/15, reveived ,received,June
"Motive Interactive, Inc",AFF,AFF,,CHN_46_08_18,,AFF,,2562.53 ,USD,,2562.53 ,2018/8/21,2534.23 ,28.30 ,,2018/8/11,, 30 ,2018/9/20, reveived ,received,June
Minimob,AFF,AFF,,CHN_47_08_18,,AFF,,1273.78 ,USD,,1273.78 ,2018/8/21,1245.47 ,28.31 ,,2018/9/21,, 30 ,2018/9/20, reveived ,received,June
Apptick Mobilie Limited,AFF,AFF,,CHN_48_08_18,,AFF,,421.34 ,USD,,421.34 ,2018/8/21,421.34 ,0.00 ,,2018/8/23,, 30 ,2018/9/20, reveived ,received,June
OASIS SANQI NETWORK TECHNOLOGY LIMITED(altamob）,AFF,AFF,,CHN_49_08_18,,AFF,,24323.94 ,USD,,24323.94 ,2018/8/21,24323.94 ,0.00 ,,2018/9/19,, 30 ,2018/9/20, reveived ,received,June
Smarter Wireless Communications Technology (HK) limited,AFF,AFF,,CHN_50_08_18,,AFF,,12596.96 ,USD,,12596.96 ,2018/8/21,12596.96 ,0.00 ,,2018/8/30,, 30 ,2018/9/20, reveived ,received,June
HONGKONG WEBEYE LIMITED(Webeye),AFF,AFF,,CHN_51_08_18,,AFF,,23868.46 ,USD,,23868.46 ,2018/8/21,23866.54 ,1.92 ,,2018/9/19,, 30 ,2018/9/20, reveived ,received,June
TOTALMOBRAND S.A.（Mobrand_Ultron）,AFF,AFF,,CHN_52_08_18,,AFF,,9333.40 ,USD,,9333.40 ,2018/8/21,9290.10 ,43.30 ,,2018/9/6,, 30 ,2018/9/20, reveived ,received,June
Digital Media Technology SLU(Headway_Ultron),AFF,AFF,,CHN_53_08_18,,AFF,,3752.27 ,USD,,3752.27 ,2018/8/21,3720.34 ,31.93 ,,2018/9/26,, 30 ,2018/9/20, reveived ,received,June
Cook Media Ltd(Edge226_Ultron),AFF,AFF,,CHN_57_08_18,,AFF,,2983.89 ,USD,,2983.89 ,2018/8/21,3104.77 ,(120.88),,2018/9/12,, 30 ,2018/9/20, reveived ,received,June
IPLAYABLE LIMITED（inplayable）,AFF,AFF,,CHN_60_08_18,,AFF,,7522.25 ,USD,,7522.25 ,2018/8/21,7522.25 ,0.00 ,,2018/9/28,, 30 ,2018/9/20, reveived ,received,June
Smile Internet Technologies PTE. Limited,AFF,AFF,,CHN_61_08_18,,AFF,,1249.24 ,USD,,1249.24 ,2018/8/21,1193.20 ,56.04 ,,2018/8/30,, 30 ,2018/9/20, reveived ,received,June
Skyworker Digital Limited（Skyworker_Ultron）,AFF,AFF,,CHN_63_08_18,,AFF,,27303.56 ,USD,,27303.56 ,2018/8/21,27263.91 ,39.65 ,,2018/9/24,, 30 ,2018/9/20, reveived ,received,June
Adorca Hongkong Limited,AFF,AFF,,CHN_64_08_18,,AFF,,39865.92 ,USD,,39865.92 ,2018/8/21,39864.01 ,1.91 ,,2018/9/10,, 30 ,2018/9/20, reveived ,received,June
Glispa GmbH（Ultron）,AFF,AFF,,CHN_65_08_18,,AFF,,10047.33 ,USD,,10047.33 ,2018/8/21,10047.33 ,0.00 ,,2018/9/6,, 30 ,2018/9/20, reveived ,received,May
Glispa GmbH（Ultron）,AFF,AFF,,CHN_66_08_18,,AFF,,7912.99 ,USD,,7912.99 ,2018/8/21,7879.69 ,33.30 ,,2018/9/6,, 30 ,2018/9/20, reveived ,received,June
SuperADS Technology Limited,AFF,AFF,,CHN_67_08_18,,AFF,,13309.13 ,USD,,13309.13 ,2018/8/21,13307.21 ,1.92 ,,2018/9/18,, 30 ,2018/9/20, reveived ,received,June
TIDEBUY INTERNATIONAL LIMITED(踏浪者国际),China Sales,China Sales EC,,CHN_68_08_18,,Xinxin,,8083.13 ,USD,,8083.13 ,2018/8/21,8083.13 ,0.00 ,,2018/9/6,, 30 ,2018/9/20, reveived ,received,July Topbuzz&网盟
Badoo Trading Ltd,UK,UK,,UK_17_08_18,,UK,,5489.44 ,USD,,5489.44 ,2018/8/27,5489.44 ,0.00 ,,2018/9/27,, 30 ,2018/9/26, reveived ,received,JulyBadoo Dating
"Zucks, Inc.",AFF,AFF,,CHN_75_08_18,,AFF,,2556.82 ,USD,,2556.82 ,2018/8/22,2548.52 ,8.30 ,,2018/8/31,, 30 ,2018/9/21, reveived ,received,June
COPO Technology Limited,#N/A,#N/A,,CHN_76_08_18,,Lilian,,298377.26 ,USD,,298377.26 ,2018/8/22,298375.35 ,1.91 ,,2018/9/5,, 30 ,2018/9/21, reveived ,received,July
SVG Media FZ LLC(Sevetynine),APAC,SGP,,SGP_13_08_18 CM,,Amanda,,1298.50 ,USD,,1298.50 ,2018/8/22,1268.50 ,30.00 ,,2018/9/26,, 30 ,2018/9/21, reveived ,received,July  NOON/Cleartrip
LOMEWAY E-COMMERCE (HONGKONG)LIMITED（环球易购）,China Sales,China Sales EC,,CHN_77_08_18,,XinXin,,78338.82 ,USD,,78338.82 ,2018/8/22,,78338.82 ,,2018/8/21,, 30 ,2018/9/21, reveived ,received,June
Bytedance Inc.今日头条,China Sales,China Sales North,,CHN_78_08_18,,Bonnie,,5029852.24 ,USD,,5029852.24 ,2018/8/22,5029833.94 ,18.30 ,,2018/9/20,, 30 ,2018/9/21, reveived ,received,July今日头条
Click Tech Limited(Yeamobi),AFF,AFF,,CHN_79_08_18,,AFF,,3102.46 ,USD,,3102.46 ,2018/8/22,3094.26 ,8.20 ,,2018/9/28,, 30 ,2018/9/21, reveived ,received,July
"Roadmapp Digital, LLC",AFF,AFF,,CHN_80_08_18CM,,AFF,,(1880.59),USD,,(1880.59),2018/8/22,,(1880.59),,2018/8/22,, 30 ,2018/9/21, reveived ,received,Cancelled invoice of Apr.18
香港创酷互动娱乐有限公司,China Sales,China Sales South,,CHN_82_08_18,,vanness,,3599.14 ,USD,,3599.14 ,2018/8/22,3599.14 ,0.00 ,,2018/9/5,, 30 ,2018/9/21, reveived ,received,July日本-叫我官老爷
"Whatech Mobile Co.,Limited(Mobisummer)",AFF,AFF,,CHN_83_08_18,,AFF,,4483.03 ,USD,,4483.03 ,2018/8/22,4481.11 ,1.92 ,,2018/9/14,, 30 ,2018/9/21, reveived ,received,June
Mobchang_Ultron,AFF,AFF,,CHN_88_08_18,,AFF,,1274.23 ,USD,,1274.23 ,2018/8/23,1272.32 ,1.91 ,,2018/9/6,, 30 ,2018/9/22, reveived ,received,June
"Dreamscape Technology CO.,Limited(Oceanbys)",AFF,AFF,,CHN_89_08_18,,AFF,,1410.72 ,USD,,1410.72 ,2018/8/23,1410.72 ,0.00 ,,2018/9/26,, 30 ,2018/9/22, reveived ,received,June
"Hong Kong Shengmu Data Network Technology Co.,Limited",AFF,AFF,,CHN_90_08_18,,AFF,,462.04 ,USD,,462.04 ,2018/8/23,462.04 ,0.00 ,,2018/9/26,, 30 ,2018/9/22, reveived ,received,June
Newborn Town International Enterprise Limited（Solo API）,AFF,AFF,,CHN_91_08_18,,AFF,,36895.22 ,USD,,36895.22 ,2018/8/23,36895.22 ,0.00 ,,2018/9/21,, 30 ,2018/9/22, reveived ,received,June
OP Vision LTD(Persona.ly),AFF,AFF,,CHN_92_08_18,,AFF,,49272.73 ,USD,,49272.73 ,2018/8/23,49272.72 ,0.01 ,,2018/8/19,, 30 ,2018/9/22, reveived ,received,June
IGG SINGAPORE PTE. LTD.,UK,UK,,UK_11_08_18 ,,UK,,3154.20 ,USD,,3154.20 ,2018/8/20,,3154.20 ,,2018/9/5,, 30 ,2018/9/19, reveived ,received,JulyLords Mobile
Playsimple Games PTE. LTD.,UK,UK,,UK_06_08_18 ,,UK,,2176.50 ,USD,,2176.50 ,2018/8/21,,2176.50 ,,2018/9/6,, 30 ,2018/9/20, reveived ,received,July-WordTrip
Taptica Ltd,AFF,AFF,,US_02_08_18 ,,AFF,,12209.73 ,USD,,12209.73 ,2018/8/23,12209.73 ,0.00 ,,2018/8/17,, 30 ,2018/9/22, reveived ,received,June
EFUN COMPANY LIMITED,China Sales,China Sales South,,CHN_95_08_18,,Vanness,,45.00 ,USD,,45.00 ,2018/8/27,43.07 ,1.93 ,,2018/9/21,, 30 ,2018/9/26, reveived ,received,JulyUFC-HK-AND
香港创酷互动娱乐有限公司,China Sales,China Sales South,,CHN_96_08_18,,Vanness,,69.00 ,USD,,69.00 ,2018/8/27,69.00 ,0.00 ,,2018/9/5,, 30 ,2018/9/26, reveived ,received,July叫我官老爷
QUVIDEO (HONG KONG) LIMITED,China Sales,China Sales North,,CHN_97_12_17,,Bonnie,,6001.39 ,USD,,6001.39 ,2018/8/27,5993.09 ,8.30 ,,2018/8/30,, 30 ,2018/9/26, reveived ,received,Julyvivavideo
香港创酷互动娱乐有限公司,China Sales,China Sales South,,CHN_99_08_18,,Vanness,,198849.69 ,USD,,198849.69 ,2018/8/27,198847.77 ,1.92 ,,2018/9/5,, 30 ,2018/9/26, reveived ,received,July叫我官老爷（韩/日/简体/繁体）
"IKMY Co., Limited",AFF,AFF,,CHN_100_08_18,,AFF,,191.52 ,USD,,191.52 ,2018/8/27,189.61 ,1.91 ,,2018/8/30,, 30 ,2018/9/26, reveived ,received,June
Fiverr International Ltd,UK,UK,,UK_14_08_18 ,,UK,,1413.53 ,USD,,1413.53 ,2018/8/27,1413.53 ,0.00 ,,2018/9/17,, 30 ,2018/9/26, reveived ,received,July
GDMGROUP EAST LIMITED（Mobair）,AFF,AFF,,CHN_05_08_18CM,,AFF,,(549.70),USD,,(549.70),2018/8/7,,(549.70),,2018/8/16,, 30 ,2018/9/6, reveived ,received,Cancelled invoice of May.18
"Bat Technology CO., Limited（Ultron）",AFF,AFF,,CHN_11_08_18,,AFF,,4893.44 ,USD,,4893.44 ,2018/8/8,4893.44 ,0.00 ,,2018/8/31,, 30 ,2018/9/7, reveived ,received,Feb
"Bat Technology CO., Limited（Ultron）",AFF,AFF,,CHN_07_04_18CM,,AFF,,(5414.00),USD,,(5414.00),2018/4/3,,(5414.00),,2018/8/8,, 30 ,2018/5/3, reveived ,received,Cancelled invoice of Feb.18
PT Medika Komunika Teknologi-Klikdokter,APAC,Indonesia,,SGP_16_02_18CM,,Edo,,(5000.00),USD,,(5000.00),2018/9/3,,(5000.00),,2018/9/3,, 30 ,2018/10/3, reveived ,received,cancelled invoice ofJan.18
PT Medika Komunika Teknologi-Klikdokter,APAC,Indonesia,,SGP_01_09_18,,Edo,,5000.00 ,USD,,5000.00 ,2018/9/3,5000.00 ,0.00 ,,2018/9/7,, 30 ,2018/10/3, reveived ,received,Jan prepayment
Alibaba.com Hong Kong Limited,China Sales,China Sales East,,CHN_04_09_18,,Ander,,2905343.20 ,USD,,2905343.20 ,2018/9/3,2905335.23 ,7.97 ,,2018/9/10,, 30 ,2018/10/3, reveived ,received,May阿里巴巴（Aliexpress）
YOUZU Games Hongkong Limited,China Sales,China Sales East,,CHN_05_09_18,,Ander,,27917.00 ,USD,,27917.00 ,2018/9/3,27891.66 ,25.34 ,,2018/9/21,, 60 ,2018/11/2, reveived ,received,July LOD狂暴之翼
Digitrading Hongkong Limited（敦煌网）,China Sales,China Sales East,,CHN_06_09_18,,Ander,,13874.70 ,USD,,13874.70 ,2018/9/4,13872.78 ,1.92 ,,2018/9/27,, 30 ,2018/10/4, reveived ,received,Aug.18
IGG SINGAPORE PTE. LTD.,UK,UK,,UK_01_09_18 ,,UK,,2681.07 ,USD,,2681.07 ,2018/9/5,2681.07 ,0.00 ,,2018/9/17,, 30 ,2018/10/5, reveived ,received,JulyLords Mobile
IGG SINGAPORE PTE. LTD.,UK,UK,,UK_11_08_18CM,,UK,,(3154.20),USD,,(3154.20),2018/9/5,,(3154.20),,2018/9/5,, 30 ,2018/10/5, reveived ,received,Cancelled invoice of July.18
LOMEWAY E-COMMERCE (HONGKONG)LIMITED（环球易购）,China Sales,China Sales EC,,CHN_07_09_18,,XinXin,,26289.02 ,USD,,26289.02 ,2018/9/6,,26289.02 ,,2018/8/21,, 30 ,2018/10/6, reveived ,received,Aug.18prepayment
LOMEWAY E-COMMERCE (HONGKONG)LIMITED（环球易购）,China Sales,China Sales EC,,CHN_08_09_18,,XinXin,,32983.50 ,USD,,32983.50 ,2018/9/6,,32983.50 ,,2018/8/21,, 30 ,2018/10/6, reveived ,received,Aug.18prepayment
Playsimple Games PTE. LTD.,UK,UK,,UK_06_08_18CM,,UK,,(2176.50),USD,,(2176.50),2018/9/6,,(2176.50),,2018/9/6,, 30 ,2018/10/6, reveived ,received,Cancelled invoice of July.18-WordTrip
"Nasmedia Co., Ltd",AFF,AFF,,CHN_14_09_18,,AFF,,15597.00 ,USD,,15597.00 ,2018/9/10,15558.67 ,38.33 ,,2018/9/28,, 30 ,2018/10/10, reveived ,received,Aug.18
Mobvista International Technology Limited-Ultron,AFF,AFF,,CHN_15_09_18,,AFF,,91928.22 ,USD,,91928.22 ,2018/9/10,91928.22 ,0.00 ,,2018/9/21,, 30 ,2018/10/10, reveived ,received,June
SHAREIT(HK) TECHNOLOGY LIMITED,China Sales,China Sales EC,,CHN_16_09_18,,xinxin,,9947.93 ,USD,,9947.93 ,2018/9/10,9947.93 ,0.00 ,,2018/9/14,, 30 ,2018/10/10, reveived ,received,Aug.18
"Motive Interactive, Inc",AFF,AFF,,CHN_22_09_18,,AFF,,3223.17 ,USD,,3223.17 ,2018/9/11,3194.87 ,28.30 ,,2018/9/8,, 30 ,2018/10/11, reveived ,received,July
"Bat Technology CO., Limited（Ultron）",AFF,AFF,,CHN_43_08_18CM,,AFF,,(64901.24),USD,,(64901.24),2018/9/11,,(64901.24),,2018/9/11,, 30 ,2018/10/11, reveived ,received,Cancelled invoice of June.18
JOLLYCHIC EC LIMITED（杭州执御）,China Sales,China Sales EC,,CHN_30_09_18,,XinXin,,7013.54 ,USD,,7013.54 ,2018/9/12,7011.62 ,1.92 ,,2018/9/28,, 30 ,2018/10/12, reveived ,received,Aug.18
Glispa GmbH（Ultron）,AFF,AFF,,CHN_31_09_18,,AFF,,2784.40 ,USD,,2784.40 ,2018/9/12,2751.10 ,33.30 ,,2018/9/6,, 30 ,2018/10/12, reveived ,received,July
"Hong Kong Shengmu Data Network Technology Co., Limited(Mightapp)",AFF,AFF,,CHN_42_09_18,,AFF,,4.16 ,USD,,4.16 ,2018/9/12,4.16 ,0.00 ,,2018/9/26,, 30 ,2018/10/12, reveived ,received,July
"Dreamscape Technology CO.,Limited(Oceanbys)",AFF,AFF,,CHN_47_09_18,,AFF,,140.87 ,USD,,140.87 ,2018/9/12,131.95 ,8.92 ,,2018/9/26,, 30 ,2018/10/12, reveived ,received,July
Leadbolt Pty Ltd,AFF,AFF,,CHN_51_09_18,,AFF,,1919.64 ,USD,,1919.64 ,2018/9/12,1911.34 ,8.30 ,,2018/9/7,, 30 ,2018/10/12, reveived ,received,July
Taptica Ltd,AFF,AFF,,US_01_09_18,,AFF,,11682.90 ,USD,,11682.90 ,2018/9/12,11682.90 ,0.00 ,,2018/9/14,, 30 ,2018/10/12, reveived ,received,July
"Zucks, Inc.",AFF,AFF,,CHN_58_09_18,,AFF,,34659.56 ,USD,,34659.56 ,2018/9/13,34651.23 ,8.33 ,,2018/9/28,, 30 ,2018/10/13, reveived ,received,July
YouAppi Inc,AFF,AFF,,CHN_59_09_18,,AFF,,4829.04 ,USD,,4829.04 ,2018/9/13,4800.72 ,28.32 ,,2018/9/29,, 30 ,2018/10/13, reveived ,received,July
PT.Shopee International Indonesia,APAC,SGP,,SGP_05_08_18CM,,Amanda,,(10572.00),USD,,(10572.00),2018/8/10,,(10572.00),,2018/9/10,, 30 ,2018/9/9, reveived ,received,Cancelled invoice ofJuly.18
PT.Shopee International Indonesia,APAC,SGP,,SGP_05_08_18,,Amanda,,10572.00 ,USD,,10572.00 ,2018/8/10,10572.00 ,0.00 ,,2018/9/28,, 30 ,2018/9/9, reveived ,received,July
Morenti Inc,USA,USA,,US_02_05_18CM,,USA,,(1650.00),USD,,(1650.00),2018/9/11,,(1650.00),,2018/9/11,, 30 ,2018/10/11, reveived ,received,Cancelled invoice ofprepayment.18
DeNA HONGKONG LIMITED,China Sales,China Sales South,,CHN_65_09_18,,Vanness,,1435.00 ,USD,,1435.00 ,2018/9/17,1433.08 ,1.92 ,,2018/9/24,, 30 ,2018/10/17, reveived ,received,July港台圣斗士星矢
OP Vision LTD(Persona.ly),AFF,AFF,,CHN_67_09_18 ,,AFF,,71221.38 ,USD,,71221.38 ,2018/9/17,71221.40 ,(0.02),,2018/9/25,, 30 ,2018/10/17, reveived ,received,July
LOMEWAY E-COMMERCE (HONGKONG)LIMITED（环球易购）,China Sales,China Sales EC,,CHN_19_07_18,,XinXin,,34853.10 ,USD,,34853.10 ,2018/7/11,,34853.10 ,,电商预付,, 30 ,2018/8/10, reveived ,received,June Facebook
KONGKO DIGITAL PTE LTD,China Sales,China Sales North,,CHN_71_07_18,,Bonnie,,1000.00 ,USD,,1000.00 ,2018/7/31,,1000.00 ,,电商预付,, 30 ,2018/8/30, reveived ,received,Prepayment
LOMEWAY E-COMMERCE (HONGKONG)LIMITED（环球易购）,China Sales,China Sales EC,,CHN_14_08_18,,XinXin,,106267.41 ,USD,,106267.41 ,2018/8/9,,106267.41 ,,电商预付,, 30 ,2018/9/8, reveived ,received,July环球易购
LOMEWAY E-COMMERCE (HONGKONG)LIMITED（环球易购）,China Sales,China Sales EC,,CHN_15_08_18,,XinXin,,23710.98 ,USD,,23710.98 ,2018/8/9,,23710.98 ,,电商预付,, 30 ,2018/9/8, reveived ,received,July
LOMEWAY E-COMMERCE (HONGKONG)LIMITED（环球易购）,China Sales,China Sales EC,,CHN_16_08_18,,XinXin,,23626.42 ,USD,,23626.42 ,2018/8/9,,23626.42 ,,电商预付,, 30 ,2018/9/8, reveived ,received,July
LOMEWAY E-COMMERCE (HONGKONG)LIMITED（环球易购）,China Sales,China Sales EC,,CHN_75_09_18,,XinXin,,67947.69 ,USD,,67947.69 ,2018/9/20,,67947.69 ,,电商预付,, 30 ,2018/10/20, reveived ,received,Aug.18snapchat
